,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
2236,Putusan MAHKAMAH AGUNG Nomor 1105 K/Pid/2020,40,22,2023-03-30,15-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Harta Bersama,Berkekuatan Hukum Tetap
2237,Putusan MAHKAMAH AGUNG Nomor 178 PK/AG/2022,10,4,2023-03-30,21-10-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penggelapan,Berkekuatan Hukum Tetap
2238,Putusan MAHKAMAH AGUNG Nomor 1127 K/Pid/2022,10,5,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2239,Upload :,6,3,2023-03-30,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2240,Upload :,11,3,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2241,Upload :,25,3,2023-03-30,14-12-2020,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2242,Upload :,15,3,2023-03-30,30-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2243,Putus :,4,2,2023-03-30,15-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2244,Putus :,5,2,2023-03-30,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2245,Putus :,4,3,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2246,Register :,7,3,2023-03-30,29-08-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2247,Putusan MAHKAMAH AGUNG Nomor 3246 K/Pid.Sus/2022,4,2,2023-03-30,22-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2248,Putusan MAHKAMAH AGUNG Nomor 5619 B/PK/PJK/2022,13,10,2023-03-30,06-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2249,Putusan MAHKAMAH AGUNG Nomor 6677 K/Pid.Sus/2022,21,9,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pajak  Pajak Pertambahan NilaiPPN,Berkekuatan Hukum Tetap
2250,Putusan MAHKAMAH AGUNG Nomor 5535 B/PK/PJK/2022,18,1,2023-03-30,14-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2251,Upload :,9,13,2023-03-30,16-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2252,Putus :,15,9,2023-03-30,28-09-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2253,Putus :,5,2,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2254,Putus :,4,2,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2255,Register :,17,4,2023-03-30,30-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2256,Putusan MAHKAMAH AGUNG Nomor 5044 B/PK/PJK/2022,5,4,2023-03-30,06-10-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2257,Putusan MAHKAMAH AGUNG Nomor 1296 PK/Pdt/2022,16,2,2023-03-30,18-01-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penganiayaan,Berkekuatan Hukum Tetap
2258,Putusan MAHKAMAH AGUNG Nomor 4838 K/Pid.Sus/2022,7,1,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
