id,kode_provinsi,nama_provinsi,kesatuan_pengelolaan_hutan,jenis_kayu,produksi_kayu_bulat,satuan,tahun
309,32,JAWA BARAT,CIANJUR,JATI,5628.01,M3,2018
310,32,JAWA BARAT,CIANJUR,PINUS,4816.28,M3,2018
311,32,JAWA BARAT,CIANJUR,MAHONI,5680.01,M3,2018
312,32,JAWA BARAT,CIANJUR,SENGON,0.0,M3,2018
313,32,JAWA BARAT,CIANJUR,AGATHIS,0.0,M3,2018
314,32,JAWA BARAT,CIANJUR,SONOKELING,0.0,M3,2018
315,32,JAWA BARAT,CIANJUR,RASAMALA,3595.72,M3,2018
316,32,JAWA BARAT,CIANJUR,PUSPA,471.43,M3,2018
317,32,JAWA BARAT,CIANJUR,MAESOPSIS,395.26,M3,2018
318,32,JAWA BARAT,CIANJUR,ACACIA MANGIUM,253.58,M3,2018
319,32,JAWA BARAT,CIANJUR,RIMBA CAMPURAN,195.29,M3,2018
320,32,JAWA BARAT,PURWAKARTA,JATI,2561.06,M3,2018
321,32,JAWA BARAT,PURWAKARTA,PINUS,1.68,M3,2018
322,32,JAWA BARAT,PURWAKARTA,MAHONI,168.74,M3,2018
323,32,JAWA BARAT,PURWAKARTA,SENGON,1900.86,M3,2018
324,32,JAWA BARAT,PURWAKARTA,AGATHIS,0.0,M3,2018
325,32,JAWA BARAT,PURWAKARTA,SONOKELING,9.48,M3,2018
326,32,JAWA BARAT,PURWAKARTA,RASAMALA,0.0,M3,2018
327,32,JAWA BARAT,PURWAKARTA,PUSPA,0.0,M3,2018
328,32,JAWA BARAT,PURWAKARTA,MAESOPSIS,4.6,M3,2018
329,32,JAWA BARAT,PURWAKARTA,ACACIA MANGIUM,1526.82,M3,2018
330,32,JAWA BARAT,PURWAKARTA,RIMBA CAMPURAN,862.59,M3,2018
331,32,JAWA BARAT,BANDUNG UTARA,JATI,843.41,M3,2018
332,32,JAWA BARAT,BANDUNG UTARA,PINUS,510.35,M3,2018
333,32,JAWA BARAT,BANDUNG UTARA,MAHONI,0.0,M3,2018
334,32,JAWA BARAT,BANDUNG UTARA,SENGON,0.0,M3,2018
335,32,JAWA BARAT,BANDUNG UTARA,AGATHIS,0.0,M3,2018
336,32,JAWA BARAT,BANDUNG UTARA,SONOKELING,0.0,M3,2018
337,32,JAWA BARAT,BANDUNG UTARA,RASAMALA,0.0,M3,2018
338,32,JAWA BARAT,BANDUNG UTARA,PUSPA,0.0,M3,2018
339,32,JAWA BARAT,BANDUNG UTARA,MAESOPSIS,0.0,M3,2018
340,32,JAWA BARAT,BANDUNG UTARA,ACACIA MANGIUM,0.0,M3,2018
341,32,JAWA BARAT,BANDUNG UTARA,RIMBA CAMPURAN,0.0,M3,2018
342,32,JAWA BARAT,BANDUNG SELATAN,JATI,42.58,M3,2018
