,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
212,32532,319162,369,4963,9,4.25,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,197,1
213,5539,160,364,4498,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,98,0
214,23343,67,151,162,0,0.0,1.0,9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,150,0
215,15340,5,42,2776,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,104,0
216,15340,5,42,2776,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,96,0
217,835479,1742238,81,5069,1,0.5,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,191,0
218,112383,2788,751,4246,0,0.0,1.0,14,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,23,0
219,1168,5,41,188,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,176,1
220,850145,1292722,160,5327,4,4.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,176,1
221,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,260,1
222,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,239,1
223,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,246,1
224,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,1
225,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,245,1
226,1483,201,317,3774,0,0.0,1.0,11,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,106,0
227,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,246,1
228,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,1
229,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,260,1
230,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,245,1
231,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,239,1
232,182,19,26,229,2,1.75,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,245,1
233,181,71,121,223,2,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,1
