Date,Price,Open,High,Low,Vol.,Change %
2019-08-22,2118.0,2118.0,2118.0,2118.0,,2.77
2019-08-23,2168.0,2168.0,2168.0,2168.0,,2.36
2019-08-24,2094.6,2094.6,2094.6,2094.6,,1.3260000000000003
2019-08-25,2094.6,2094.6,2094.6,2094.6,,1.3260000000000003
2019-08-26,2101.5,2101.5,2101.5,2101.5,,1.4050000000000005
2019-08-27,2213.0,2213.0,2213.0,2213.0,,2.08
2019-08-28,2267.0,2267.0,2267.0,2267.0,,2.44
2019-08-29,2277.0,2277.0,2277.0,2277.0,,0.44
2019-08-30,2378.0,2378.0,2378.0,2378.0,,4.44
2019-08-31,2283.75,2283.75,2283.75,2283.75,,2.3500000000000005
2019-09-01,2283.75,2283.75,2283.75,2283.75,,2.3500000000000005
2019-09-02,2442.0,2442.0,2442.0,2442.0,,2.69
2019-09-03,2501.0,2501.0,2501.0,2501.0,,2.42
2019-09-04,2518.0,2518.0,2518.0,2518.0,,0.68
2019-09-05,2499.0,2499.0,2499.0,2499.0,,0.75
2019-09-06,2462.0,2462.0,2462.0,2462.0,,1.48
2019-09-07,2484.4,2484.4,2484.4,2484.4,,1.6040000000000003
2019-09-08,2484.4,2484.4,2484.4,2484.4,,1.6040000000000003
2019-09-09,2422.0,2422.0,2422.0,2422.0,,1.62
2019-09-10,2393.0,2393.0,2393.0,2393.0,,1.2
2019-09-11,2366.0,2366.0,2366.0,2366.0,,1.13
2019-09-12,2331.0,2331.0,2331.0,2331.0,,1.48
2019-09-13,2312.0,2312.0,2312.0,2312.0,,0.82
2019-09-14,2364.8,2364.8,2364.8,2364.8,,1.2500000000000002
2019-09-15,2364.8,2364.8,2364.8,2364.8,,1.2500000000000002
2019-09-16,2311.0,2311.0,2311.0,2311.0,,0.04
2019-09-17,2283.0,2283.0,2283.0,2283.0,,1.21
2019-09-18,2266.0,2266.0,2266.0,2266.0,,0.74
2019-09-19,2192.0,2192.0,2192.0,2192.0,,3.27
2019-09-20,2131.0,2131.0,2131.0,2131.0,,2.78
2019-09-21,2236.6,2236.6,2236.6,2236.6,,1.6080000000000005
2019-09-22,2236.6,2236.6,2236.6,2236.6,,1.6080000000000005
2019-09-23,2108.0,2108.0,2108.0,2108.0,,1.08
2019-09-24,2116.0,2116.0,2116.0,2116.0,,0.38
2019-09-25,2053.0,2053.0,2053.0,2053.0,,2.98
2019-09-26,1963.0,1963.0,1963.0,1963.0,,4.38
2019-09-27,1857.0,1857.0,1857.0,1857.0,,5.4
2019-09-28,2019.4,2019.4,2019.4,2019.4,,2.8440000000000003
2019-09-29,2019.4,2019.4,2019.4,2019.4,,2.8440000000000003
2019-09-30,1823.0,1823.0,1823.0,1823.0,,1.83
2019-10-01,1809.0,1809.0,1809.0,1809.0,,0.77
2019-10-02,1803.0,1803.0,1803.0,1803.0,,0.33
2019-10-03,1757.0,1757.0,1757.0,1757.0,,2.55
2019-10-04,1767.0,1767.0,1767.0,1767.0,,0.57
2019-10-05,1791.8,1791.8,1791.8,1791.8,,1.2100000000000004
2019-10-06,1791.8,1791.8,1791.8,1791.8,,1.2100000000000004
2019-10-07,1770.0,1770.0,1770.0,1770.0,,0.17
2019-10-08,1801.0,1801.0,1801.0,1801.0,,1.75
2019-10-09,1873.0,1873.0,1873.0,1873.0,,4.0
2019-10-10,1929.0,1929.0,1929.0,1929.0,,2.99
2019-10-11,1924.0,1924.0,1924.0,1924.0,,0.26
2019-10-12,1859.4,1859.4,1859.4,1859.4,,1.8340000000000003
2019-10-13,1859.4,1859.4,1859.4,1859.4,,1.8340000000000003
2019-10-14,1916.0,1916.0,1916.0,1916.0,,0.42
2019-10-15,1898.0,1898.0,1898.0,1898.0,,0.94
